# RADeg decDeg z fluxmJy_1.4GHz fluxmJy_30GHz fluxmJy_90GHz fluxmJy_148GHz fluxmJy_219GHz fluxmJy_277GHz fluxmJy_350GHz
5.873459 4.737583999999999 0.33230 6.25711e-02 5.47582e-03 2.22942e-03 1.49543e-03 1.09281e-03 9.05546e-04 7.50998e-04
4.803407000000001 6.629649000000006 0.33270 7.06368e-02 8.32146e-03 2.98924e-03 1.80604e-03 1.25559e-03 1.02474e-03 8.43280e-04
4.804729 6.630285000000002 0.33270 5.52681e-02 4.72813e-03 1.96091e-03 1.31715e-03 9.62696e-04 7.97739e-04 6.61592e-04
5.00404 6.748338999999997 0.33640 1.19289e+00 1.03276e-01 4.22996e-02 2.83973e-02 2.07543e-02 1.71980e-02 1.42629e-02
4.714265 4.5560380000000045 0.33630 2.06220e-01 1.43662e-02 5.76484e-03 3.87010e-03 2.82852e-03 2.34385e-03 1.94383e-03
4.687793 4.586775000000003 0.33630 4.03357e-01 3.67374e-02 1.46627e-02 9.71644e-03 7.07374e-03 5.85691e-03 4.85584e-03
4.6946 4.581395000000002 0.33630 2.40570e-01 2.03759e-02 8.45517e-03 5.67945e-03 4.15107e-03 3.43979e-03 2.85273e-03
6.367359 6.340330999999998 0.34150 5.51780e-02 6.28707e-03 2.68754e-03 1.62298e-03 1.07953e-03 8.55333e-04 6.87301e-04
4.658745 4.513036999999998 0.34400 4.00267e-01 3.19535e-02 1.32377e-02 8.89189e-03 6.49903e-03 5.38542e-03 4.46631e-03
4.674038 4.534114000000006 0.34400 3.92680e-01 1.13698e-01 1.10972e-01 8.24429e-02 5.43545e-02 3.89336e-02 2.62457e-02
