# RADeg decDeg z fluxmJy_1.4GHz fluxmJy_30GHz fluxmJy_90GHz fluxmJy_148GHz fluxmJy_219GHz fluxmJy_277GHz fluxmJy_350GHz
24.799319 6.237161999999993 0.24930 4.21242e+00 3.52343e-01 1.46293e-01 9.82672e-02 7.18229e-02 5.95161e-02 4.93587e-02
27.235583 6.671360000000001 0.24690 6.13043e-01 5.28345e-02 2.19172e-02 1.47212e-02 1.07596e-02 8.91593e-03 7.39428e-03
25.190457 6.133721999999998 0.25370 5.63397e-01 1.92067e-01 1.32285e-01 8.14070e-02 4.66995e-02 3.12005e-02 2.00363e-02
27.961527 6.702857999999994 0.25330 1.87107e-01 1.62086e-02 6.28233e-03 4.18393e-03 3.05190e-03 2.52795e-03 2.09619e-03
25.359316 6.1853 0.25550 2.53140e-01 2.79033e-02 1.04738e-02 6.44359e-03 4.51025e-03 3.68740e-03 3.03686e-03
25.350601 7.439806999999996 0.25900 2.04285e-01 1.74184e-02 7.22862e-03 4.85555e-03 3.54889e-03 2.94079e-03 2.43890e-03
26.299871 4.595398000000003 0.26030 3.23748e-01 2.65344e-02 1.06403e-02 7.13687e-03 5.21542e-03 4.32168e-03 3.58410e-03
26.319481 4.580981999999998 0.26030 4.53107e-01 3.92765e-02 1.61748e-02 1.08566e-02 7.93409e-03 6.57449e-03 5.45243e-03
26.683119 5.5946269999999965 0.26110 7.11311e+00 6.19013e-01 2.53346e-01 1.69985e-01 1.24222e-01 1.02935e-01 8.53669e-02
26.212844 7.770178000000004 0.26140 1.63488e+00 1.47051e-01 5.72579e-02 3.82753e-02 2.79577e-02 2.31656e-02 1.92117e-02
24.474957 6.415510000000002 0.26140 7.34323e-01 6.24351e-02 2.54147e-02 1.70617e-02 1.24697e-02 1.03330e-02 8.56951e-03
24.478032 6.416282000000001 0.26140 6.07941e-01 5.06613e-02 2.10157e-02 1.41165e-02 1.03177e-02 8.54973e-03 7.09058e-03
26.054274 6.815208000000004 0.26030 1.02967e+00 9.00764e-02 3.63570e-02 2.42958e-02 1.77301e-02 1.46864e-02 1.21778e-02
26.081730000000004 6.848368999999995 0.26030 4.85625e+00 4.88781e-01 1.84717e-01 1.18261e-01 8.45662e-02 6.95923e-02 5.74985e-02
26.087531 6.830421000000006 0.26030 2.36405e-01 2.07139e-02 8.63876e-03 5.76683e-03 4.18901e-03 3.46012e-03 2.86253e-03
23.998027 7.2555669999999965 0.26140 5.28971e-01 4.92729e-02 1.89251e-02 1.26052e-02 9.20217e-03 7.62439e-03 6.32297e-03
